fecha,dia_semana,id_chat,horario_inicio,horario_fin,duracion,medio,tipo,fl_grupo,fl_reunion,q_mensajes_enviados,q_mensajes_recibidos,q_mensajes,tipo_msj,sticker,fl_sticker,audio,fl_audio,q
2021/11/01,Lunes,27,08:55,09:00,00:05,WA,Personal,No,No,6,3,9,Interacción,0,No,0,No,1
2021/11/01,Lunes,5,08:56,10:07,01:11,WA,Personal,Si,No,3,20,23,Interacción,2,Si,0,No,1
2021/11/01,Lunes,1,09:00,09:05,00:05,Teams,Laboral,Si,No,1,7,8,Interacción,1,Si,0,No,1
2021/11/01,Lunes,21,09:06,09:08,00:02,WA,Personal,Si,No,1,5,6,Interacción,0,No,0,No,1
2021/11/01,Lunes,30,09:16,09:19,00:03,Teams,Laboral,No,Si,3,10,13,Interacción,0,No,0,No,1
2021/11/01,Lunes,7,09:37,09:49,00:12,Teams,Laboral,No,No,4,2,6,Interacción,0,No,0,No,1
2021/11/01,Lunes,14,10:14,10:15,00:01,WA,Personal,No,No,2,4,6,Interacción,0,No,0,No,1
2021/11/01,Lunes,23,10:19,10:44,00:25,Teams,Laboral,No,No,20,26,46,Interacción,1,Si,0,No,1
2021/11/01,Lunes,3,10:37,11:28,00:51,WA,Personal,No,No,32,29,61,Interacción,1,Si,0,No,1
2021/11/01,Lunes,5,10:37,11:08,00:31,WA,Personal,Si,No,3,11,14,Interacción,1,Si,0,No,1
2021/11/01,Lunes,21,10:57,11:00,00:03,WA,Personal,Si,No,1,4,5,Interacción,0,No,0,No,1
2021/11/01,Lunes,33,11:11,11:27,00:16,Teams,Laboral,No,No,7,8,15,Interacción,0,No,0,No,1
